Source,Remove,checks_passed,dataset_id,dataset_name,heterogeneous,Deterministic,Artificial,P/n ratio too high,Stream,Time series,Too many low cardinality,Hidden columns,Too little information,Too many IDs,Redundant,Crafted features,Simulated,n_features,n_samples,num_categorical_columns,num_columns_missing,num_pseudo_categorical_columns,num_rows_missing,original_n_features,original_n_samples,score_hbgt,score_logistic,too_easy
OpenML binary,,0,23517,"numerai28,6",,,,,,,,,,,,,,21,95324,0,0,0,0,21,96320,"0,4981803797","0,5207278481",1
OpenML binary,,0,40514,BNG(credit-g),,,,,,,,,,,,,,3,600452,13,0,4,0,20,1000000,,,
OpenML binary,,0,40536,SpeedDating,,,,,,,,,,,,,,52,1684,61,1,6,3412,120,8378,,,
OpenML binary,,0,40666,clean2,,,,,,,,,,,,,,168,2034,0,0,0,0,168,6598,,,
OpenML binary,,0,40701,churn,,,,,,,,,,,,,,16,1414,4,0,0,0,20,5000,,,
OpenML binary,,0,40713,dis,,,,,,,,,,,,,,6,116,23,0,0,0,29,3772,,,
OpenML binary,,0,40900,Satellite,,,,,,,,,,,,,,36,150,0,0,0,0,36,5100,,,
OpenML binary,,0,40910,Speech,,,,,,,,,,,,,,400,122,0,0,0,0,400,3686,,,
OpenML binary,1,1,40922,Run_or_walk_information,0,,,,,,,,,,,,,6,88446,0,0,0,0,6,88588,"0,9845067031","0,7131733162",0
OpenML binary,,0,40983,wilt,,,,,,,,,,,,,,5,522,0,0,0,0,5,4839,,,
OpenML binary,1,1,41005,jungle_chess_2pcs_endgame_rat_rat,,,,,,,1,,,,,,,14,3210,26,0,6,0,46,3660,1,"0,733748702",0
OpenML binary,1,,41026,gisette,0,,1,,,,,,,,,,,4589,7000,0,0,411,0,5000,7000,,,
OpenML binary,,0,41138,APSFailure,,,,,,,,,,,,,,161,480,0,7,2,63193,170,76000,,,
OpenML binary,1,1,41142,christine,,,1,1,,,,1,,,,,,1598,5418,37,0,1,0,1636,5418,"0,7413284133","0,6779827798",0
OpenML binary,1,1,41144,madeline,,,1,1,,,,1,,,,,,256,3122,0,0,3,0,259,3140,"0,8315901814","0,5643543223",0
OpenML binary,1,1,41145,philippine,,,,1,,,,,,,,,,308,5832,0,0,0,0,308,5832,"0,7614857143","0,7218285714",0
OpenML binary,,0,41146,sylvine,,,,,,,,,,,,,,20,5124,0,0,0,0,20,5124,"0,9473342003","0,911183355",1
OpenML binary,,0,41147,albert,,,,,,,,,,,,,,21,58252,52,5,0,358940,78,425240,"0,6199497217","0,6254264679",1
OpenML binary,0,1,41150,MiniBooNE,1,,0,,,,,,,0,,,0,50,72998,0,0,0,0,50,130064,"0,928847122","0,8434301057",0
OpenML binary,,0,41156,ada,,,,,,,,,,,,,,6,2058,0,0,42,0,48,4147,,,
